CN-MCI,,CN-AD,,MCI-AD,
G_and_S_transv_frontopol,G_oc-temp_med-Parahip,G_cingul-Post-ventral,G_temporal_middle,G_oc-temp_med-Parahip,G_pariet_inf-Supramar
G_Ins_lg_and_S_cent_ins,S_pericallosal,G_oc-temp_lat-fusifor,S_temporal_transverse,G_oc-temp_med-Parahip,G_temp_sup-Lateral
G_oc-temp_lat-fusifor,S_circular_insula_ant,G_oc-temp_med-Parahip,Pole_temporal,G_temp_sup-Plan_polar,G_oc-temp_med-Parahip
G_rectus,G_oc-temp_med-Parahip,G_oc-temp_med-Parahip,S_cingul-Marginalis,Lat_Fis-post,G_oc-temp_med-Parahip
G_temporal_inf,G_oc-temp_med-Parahip,G_oc-temp_med-Parahip,S_front_sup,Lat_Fis-post,S_temporal_inf
S_circular_insula_ant,G_temp_sup-Lateral,G_temporal_inf,S_oc-temp_med_and_Lingual,S_cingul-Marginalis,G_oc-temp_med-Parahip
S_circular_insula_ant,G_temporal_middle,G_oc-temp_med-Parahip,G_pariet_inf-Supramar,S_collat_transv_post,G_pariet_inf-Supramar
S_orbital-H_Shaped,G_temporal_middle,G_oc-temp_med-Parahip,G_temporal_middle,S_occipital_ant,S_oc-temp_med_and_Lingual
S_temporal_inf,S_oc-temp_med_and_Lingual,G_oc-temp_med-Parahip,Pole_temporal,S_oc-temp_lat,G_temporal_inf
S_temporal_inf,S_orbital-H_Shaped,G_pariet_inf-Supramar,G_temp_sup-Plan_polar,G_and_S_paracentral,G_oc-temp_med-Parahip
G_cingul-Post-ventral,S_pericallosal,G_temp_sup-Plan_polar,G_oc-temp_med-Parahip,G_oc-temp_med-Parahip,G_temp_sup-G_T_transv
G_oc-temp_lat-fusifor,G_temp_sup-Plan_polar,S_circular_insula_inf,S_oc-temp_med_and_Lingual,G_oc-temp_med-Parahip,G_and_S_paracentral
G_temp_sup-Plan_polar,G_oc-temp_med-Parahip,G_temporal_middle,G_cingul-Post-ventral,G_oc-temp_med-Parahip,G_front_inf-Opercular
G_temp_sup-Plan_polar,S_oc-temp_med_and_Lingual,S_temporal_transverse,G_oc-temp_lat-fusifor,G_temp_sup-Lateral,S_postcentral
S_temporal_transverse,G_temp_sup-Lateral,Pole_temporal,G_oc-temp_med-Parahip,G_temporal_inf,G_temp_sup-Plan_tempo
G_oc-temp_med-Parahip,G_and_S_transv_frontopol,S_cingul-Marginalis,G_oc-temp_med-Parahip,Lat_Fis-post,G_temp_sup-Plan_polar
S_pericallosal,G_Ins_lg_and_S_cent_ins,S_front_sup,G_oc-temp_med-Parahip,S_calcarine,G_front_inf-Orbital
S_circular_insula_ant,G_oc-temp_lat-fusifor,S_oc-temp_med_and_Lingual,G_temporal_inf,S_circular_insula_inf,G_occipital_middle
G_oc-temp_med-Parahip,G_rectus,G_pariet_inf-Supramar,G_oc-temp_med-Parahip,S_circular_insula_inf,G_oc-temp_med-Parahip
G_oc-temp_med-Parahip,G_temporal_inf,G_temporal_middle,G_oc-temp_med-Parahip,S_circular_insula_inf,G_temp_sup-Plan_polar
G_temp_sup-Lateral,S_circular_insula_ant,Pole_temporal,G_oc-temp_med-Parahip,S_oc-temp_lat,S_intrapariet_and_P_trans
G_temporal_middle,S_circular_insula_ant,G_temp_sup-Plan_polar,G_pariet_inf-Supramar,S_orbital_lateral,S_circular_insula_inf
G_temporal_middle,S_orbital-H_Shaped,G_oc-temp_med-Parahip,G_temp_sup-Plan_polar,S_temporal_inf,S_postcentral
S_oc-temp_med_and_Lingual,S_temporal_inf,S_oc-temp_med_and_Lingual,S_circular_insula_inf,G_pariet_inf-Supramar,G_oc-temp_med-Parahip
S_orbital-H_Shaped,S_temporal_inf,,,G_temp_sup-Lateral,G_oc-temp_med-Parahip
S_pericallosal,G_cingul-Post-ventral,,,G_oc-temp_med-Parahip,G_temp_sup-Plan_polar
G_temp_sup-Plan_polar,G_oc-temp_lat-fusifor,,,G_oc-temp_med-Parahip,Lat_Fis-post
G_oc-temp_med-Parahip,G_temp_sup-Plan_polar,,,S_temporal_inf,Lat_Fis-post
S_oc-temp_med_and_Lingual,G_temp_sup-Plan_polar,,,G_oc-temp_med-Parahip,S_cingul-Marginalis
G_temp_sup-Lateral,S_temporal_transverse,,,G_pariet_inf-Supramar,S_collat_transv_post
,,,,S_oc-temp_med_and_Lingual,S_occipital_ant
,,,,G_temporal_inf,S_oc-temp_lat
,,,,G_oc-temp_med-Parahip,G_and_S_paracentral
,,,,G_temp_sup-G_T_transv,G_oc-temp_med-Parahip
,,,,G_and_S_paracentral,G_oc-temp_med-Parahip
,,,,G_front_inf-Opercular,G_oc-temp_med-Parahip
,,,,S_postcentral,G_temp_sup-Lateral
,,,,G_temp_sup-Plan_tempo,G_temporal_inf
,,,,G_temp_sup-Plan_polar,Lat_Fis-post
,,,,G_front_inf-Orbital,S_calcarine
,,,,G_occipital_middle,S_circular_insula_inf
,,,,G_oc-temp_med-Parahip,S_circular_insula_inf
,,,,G_temp_sup-Plan_polar,S_circular_insula_inf
,,,,S_intrapariet_and_P_trans,S_oc-temp_lat
,,,,S_circular_insula_inf,S_orbital_lateral
,,,,S_postcentral,S_temporal_inf
